"""Iron Victory""","""无敌铁种号""","""""","""""",""""""
"""Randyll Tarly""","""蓝道·塔利""","""""","""""",""""""
"""Tybolt Lannister""","""泰伯特·兰尼斯特""","""""","""""",""""""
"""Poddingfield""","""荚原城""","""""","""""",""""""
"""Betharios of Braavos""","""布拉佛斯的贝罗丝""","""""","""""",""""""
"""Realm of the Jhogwin""","""杰戈温国度""","""""","""""",""""""
"""Maron Greyjoy""","""马伦·葛雷乔伊""","""""","""""",""""""
"""Lady Olenna (ship)""","""奥莲娜夫人号""","""""","""""",""""""
"""Obara Sand""","""奥芭娅·沙德""","""""","""""",""""""
"""Mermaids (Merling Queen's)""","""美人鱼（美人佛雷""","""""","""""",""""""
"""Bennarion Botley""","""本利昂·波特利""","""""","""""",""""""
"""Merion""","""梅龙""","""""","""""",""""""
"""House Flint of Widow's Watch""","""寡妇望的菲林特家族""","""""","""""",""""""
"""Bountiful Harvest""","""丰收号""","""""","""""",""""""
"""298AC""","""298AC""","""""","""""",""""""
"""House Mertyns""","""梅泰林家族""","""""","""""",""""""
"""Battle of Moat Cailin""","""偷袭卡林湾""","""""","""""",""""""
"""Lyonel Tyrell (lord)""","""莱昂诺·提利尔(戴伦一世)""","""""","""""",""""""
"""Nunny""","""纳尼""","""""","""""",""""""
"""Stiv""","""史帝夫""","""""","""""",""""""
"""Martyn Rivers""","""马丁·河文""","""""","""""",""""""
"""Wendamyr""","""温达米尔""","""""","""""",""""""
"""Marq Mandrake""","""马柯·曼达克""","""""","""""",""""""
"""King of Mountain and Vale""","""山谷之王""","""""","""""",""""""
"""Daznak's Pit""","""达兹纳克竞技场""","""""","""""",""""""
"""Isle of Tears""","""眼泪岛""","""""","""""",""""""
"""Garse""","""高斯""","""""","""""",""""""
"""Jothiel’s Pit""","""约锡尔斗技场""","""""","""""",""""""
"""House Blanetree""","""班树家族""","""""","""""",""""""
"""Kingsguard""","""御林铁卫""","""""","""""",""""""
"""Aegon Targaryen (disambiguation)""","""伊耿·坦格利安(消歧义)""","""""","""""",""""""
"""the Princess and the Queen""","""公主与王后""","""""","""""",""""""
"""Kyle""","""凯勒""","""""","""""",""""""
"""Mors Manwoody""","""莫尔斯·曼伍笛""","""""","""""",""""""
"""Ryman Frey""","""莱曼·佛雷""","""""","""""",""""""
"""Steffon Seaworth""","""史蒂芬·席渥斯""","""""","""""",""""""
"""Peake Uprising""","""培克叛乱""","""""","""""",""""""
"""Land of the Shrykes""","""伯劳鸟之地""","""""","""""",""""""
"""Faros""","""法罗丝""","""""","""""",""""""
"""House Blacktyde""","""布莱克泰斯家族""","""""","""""",""""""
"""Aemon Targaryen (disambiguation)""","""伊蒙·坦格利安(消歧义)""","""""","""""",""""""
"""Lyarra Stark""","""莱安蕊·史塔克""","""""","""""",""""""
"""Torrhen's Square""","""托伦方城""","""""","""""",""""""
"""Denys Redwyne""","""戴尼斯·雷德温""","""""","""""",""""""
"""Jorah Stark""","""乔拉·史塔克""","""""","""""",""""""
"""House Buckwell""","""布克威尔家族""","""""","""""",""""""
"""Mortimer Boggs""","""莫蒂默·鲍格斯""","""""","""""",""""""
"""Starpike""","""星梭城""","""""","""""",""""""
"""Matthos Seaworth""","""马索斯·席渥斯""","""""","""""",""""""
"""Aelinor Penrose""","""艾林诺·庞洛斯""","""""","""""",""""""
"""Guncer Sunglass""","""冈瑟·桑格拉斯""","""""","""""",""""""
"""Ricasso""","""里卡索""","""""","""""",""""""
"""Tansy (orphan)""","""艾菊(孤儿)""","""""","""""",""""""
"""Taena of Myr""","""密尔的坦妮娅""","""""","""""",""""""
"""Casper Wylde""","""卡斯伯·威尔德""","""""","""""",""""""
"""Harwin Strong""","""哈尔温·斯壮""","""""","""""",""""""
"""Jeyne Lothston""","""简妮·罗斯坦""","""""","""""",""""""
"""Tion Frey""","""提恩·佛雷""","""""","""""",""""""
"""Trident Three""","""三叉戟号""","""""","""""",""""""
"""Crowns (object)""","""冠冕""","""""","""""",""""""
"""Dorne""","""多恩""","""""","""""",""""""
"""Dermot""","""德莫特""","""""","""""",""""""
"""Widow's blood""","""寡妇之血""","""""","""""",""""""
"""Customs""","""习俗""","""""","""""",""""""
"""Alyn (Rosewood)""","""玫瑰林的埃林""","""""","""""",""""""
"""Porridge""","""麦片粥""","""""","""""",""""""
"""Sylwa Paege""","""索娃·培吉""","""""","""""",""""""
"""Hathay""","""象车""","""""","""""",""""""
"""Alys Beesbury""","""亚丽·毕斯柏里""","""""","""""",""""""
"""Elia Sand""","""伊莉亚·沙德""","""""","""""",""""""
"""Luke""","""卢克""","""""","""""",""""""
"""Illyrio's manse""","""伊利里欧的宅子""","""""","""""",""""""
"""Leona Woolfield""","""里雅·渥尔菲""","""""","""""",""""""
"""Othor""","""奥瑟""","""""","""""",""""""
"""Checkered Hazard""","""多变轮盘""","""""","""""",""""""
"""Ralf the Limper""","""“跛子”拉弗""","""""","""""",""""""
"""Shella Whent""","""希拉·河安""","""""","""""",""""""
"""Driftwood Hall""","""浮木厅""","""""","""""",""""""
"""Tyta Frey""","""坦雅·佛雷""","""""","""""",""""""
"""Roland II Arryn""","""罗兰·艾林二世""","""""","""""",""""""
"""Alyn""","""埃林""","""""","""""",""""""
"""Shiera Crakehall""","""西蕊·克雷赫""","""""","""""",""""""
"""Milkwater""","""乳河""","""""","""""",""""""
"""Jory Cassel""","""乔里·凯索""","""""","""""",""""""
"""Mountains of the Morn""","""破晓山脉""","""""","""""",""""""
"""House Tarth""","""塔斯家族""","""""","""""",""""""
"""Seven Skulls""","""七颗头骨号""","""""","""""",""""""
"""Stone Cow of Faros""","""法罗斯的石牛""","""""","""""",""""""
"""Eustace Brune""","""尤斯塔斯·布伦""","""""","""""",""""""
"""Pussywillows""","""褐柳院""","""""","""""",""""""
"""House Greyjoy""","""葛雷乔伊家族""","""""","""""",""""""
"""Dagmer""","""达格摩""","""""","""""",""""""
"""Prostitution""","""性交易""","""""","""""",""""""
"""Gwayne Corbray""","""加尔温·科布瑞""","""""","""""",""""""
"""Yezzan zo Qaggaz""","""亚赞·佐·夸格兹""","""""","""""",""""""
"""Bethany Blackwood""","""蓓珊妮·布莱伍德""","""""","""""",""""""
"""The Neck""","""颈泽""","""""","""""",""""""
"""Morgan Liddle""","""莫甘·里德尔""","""""","""""",""""""
"""Qohor""","""科霍尔""","""""","""""",""""""
"""Massey's Hook""","""马赛岬""","""""","""""",""""""
"""Orton Merryweather""","""奥顿·玛瑞魏斯""","""""","""""",""""""
"""Courtesan""","""交际花""","""""","""""",""""""
"""Quaithe""","""魁蜥""","""""","""""",""""""
"""House Wells (the North)""","""北境的威尔斯家族""","""""","""""",""""""
"""Khaleesi""","""卡丽熙""","""""","""""",""""""
"""Dungeons (Great Pyramid)""","""地牢(大金字塔)""","""""","""""",""""""
"""Uthor Underleaf""","""乌瑟·昂德里夫""","""""","""""",""""""
"""Wat (Wet)""","""渥特(湿)""","""""","""""",""""""
"""Wolf's Den""","""狼穴""","""""","""""",""""""
"""House Paege""","""培吉家族""","""""","""""",""""""
"""House Burley""","""伯莱利氏族""","""""","""""",""""""
"""Catelyn Tully""","""凯特琳·徒利""","""""","""""",""""""
"""House Tollett""","""托勒特家族""","""""","""""",""""""
"""Luceon Frey""","""卢琛·佛雷""","""""","""""",""""""
"""House Toland""","""托兰家族""","""""","""""",""""""
"""King's Tower""","""国王塔""","""""","""""",""""""
"""Wynton Stout""","""文顿·史陶""","""""","""""",""""""
"""Delena Florent""","""狄丽娜·佛罗伦""","""""","""""",""""""
"""Othell Yarwyck""","""奥赛尔·亚威克""","""""","""""",""""""
"""Battle at the Red Fork""","""红叉河之战(血龙狂舞)""","""""","""""",""""""
"""Erren Florent""","""伊伦·佛罗伦""","""""","""""",""""""
"""Cass""","""卡丝""","""""","""""",""""""
"""Seastrider""","""破浪号""","""""","""""",""""""
"""Osgood Arryn""","""奥斯古德·艾林""","""""","""""",""""""
"""Josmyn Peckledon""","""乔斯敏·派克顿""","""""","""""",""""""
"""Norjen""","""诺京""","""""","""""",""""""
"""Wyman Webber""","""威曼·维伯""","""""","""""",""""""
"""Aegon Targaryen (son of Aenys I)""","""伊耿·坦格利安(伊尼斯一世之子)""","""""","""""",""""""
"""Jon Bulwer""","""琼恩·布尔威""","""""","""""",""""""
"""Alys Stark""","""亚丽·史塔克""","""""","""""",""""""
"""Vulture's Roost""","""鹰穴堡""","""""","""""",""""""
"""Ironwood""","""铁树""","""""","""""",""""""
"""Milk of the poppy""","""罂粟花奶""","""""","""""",""""""
"""Plants""","""植物""","""""","""""",""""""
"""Hoke""","""霍克""","""""","""""",""""""
"""Antario Jast""","""安塔诺·贾斯特""","""""","""""",""""""
"""Roger Blackwood""","""罗尔杰·布莱伍德""","""""","""""",""""""
n pit (Great Pyramid)","龙穴(大金字塔)","","",""
"Gareth Clifton","加雷斯·克莱夫顿","","",""
"Khal","卡奥","","",""
"Vaes Dothrak","维斯·多斯拉克","","",""
"Robert Flowers","劳勃·佛花","","",""
"Clifford Conklyn","克利福德·科肯英","","",""
"Lorent Lorch","罗伦特·洛奇","","",""
"Battle on the Honeywine","蜜酒河之战","","",""
"Mossovy","摩苏伊","","",""
"Obella Sand","奥贝娜·沙德","","",""
"Donal Noye","唐纳·诺伊","","",""
"God-on-Earth","天帝","","",""
"Kinslaying","弑亲","","",""
"Arron","艾隆","","",""
"Battle of Duskendale","暮谷镇之战","","",""
"Elephant(ship)","大象号","","",""
"Olyvar Martell","奥利法·马泰尔","","",""
"Tourmaline Emperor","碧玺帝","","",""
"Theo Wull","席奥·渥尔","","",""
"Aladale Wynch","阿拉达·温奇","","",""
"Boots (cat)","靴子","","",""
"Janos Arryn","杰诺斯·艾林","","",""
"Maesters","学士","","",""
"New Gift","新赠地","","",""
"Marq Ambrose","马柯·安布罗斯","","",""
"Grassy Vale","绿谷城","","",""
"Axe","斧头半岛","","",""
"Gascoyne","加斯科因","","",""
"Warden","守护","","",""
"Puckens","普肯斯","","",""
"Red Tide","红潮号","","",""
"hollow hill","空山","","",""
"Little Monster","小怪物","","",""
"Fall of Dragonstone","龙石岛陷落","","",""
"Shitmouth","臭嘴","","",""
"Wyndhall","狭厅","","",""
"299AC","299AC","","",""
"Alys Stackspear","亚丽·斯脱克皮","","",""
"House of Black and White","黑白之院","","",""
"Aenys Frey","伊尼斯·佛雷","","",""
"Brave Danny Flint","勇敢的丹妮·菲林特","","",""
"Symond Frey","赛蒙·佛雷","","",""
"Straits of Tarth","塔斯海峡","","",""
"Alayaya","爱拉雅雅","","",""
"Hugh","修夫","","",""
"Roone (Maester)","鲁尼(学士)","","",""
"House Estren","伊斯兰家族","","",""
"Quort","科特","","",""
"Hoster Blackwood","霍斯特·布莱伍德","","",""
"Axel Tully","亚赛尔·徒利","","",""
"Mallador Locke","马拉多·洛克","","",""
"Hallis Mollen","哈里斯·莫兰","","",""
"Franklyn Flowers","福兰克林·佛花","","",""
"Danny Flint","丹妮·菲林特","","",""
"House Vypren","瓦尔平家族","","",""
"House Osgrey of Leafy Lake","叶子湖的奥斯格雷家族","","",""
"Buckle","皮扣村","","",""
"Mellei","梅勒","","",""
"Ice Dragon (constellation)","冰龙座","","",""
"House Dayne of High Hermitage","高隐城的戴恩家族","","",""
"Roslin Frey","萝丝琳·佛雷","","",""
"Jasper Redfort","贾斯皮·雷德佛","","",""
"Tyrosh","泰洛西","","",""
"Ordello","奥德罗","","",""
"Free folk","自由民","","",""
"Catelyn Bracken","凯特琳·布雷肯","","",""
"Sludgy Pond","烂泥塘","","",""
"The Day They Hanged Black Robin","吊死黑罗宾的日子","","",""
"Sack of Astapor","阿斯塔波之战","","",""
"Jeffory Norcross","乔佛里·诺科斯","","",""
"Alysane Mormont","亚莉珊·莫尔蒙","","",""
"Simon Strong","西蒙·斯壮","","",""
"Gylbert Farwynd","吉尔伯特·法温","","",""
"Daenerys Targaryen (daughter of Aegon IV)","丹妮莉丝·坦格利安(伊耿四世之女)","","",""
"Great Empire of the Dawn","黎明帝国","","",""
"Roose Bolton","卢斯·波顿","","",""
"Lythene Frey","丽丝妮·佛雷","","",""
"Mother (the Seven)","圣母","","",""
"Franklyn Fowler","福兰克林·佛勒","","",""
"Brandon Stark (son of Cregan)","布兰登·史塔克(克雷根之子)","","",""
"Edwyd Fossoway","艾德威·佛索威","","",""
"House Byrch","拜奇家族","","",""
"Wise Masters","贤主","","",""
"Skipping Stones","跳石滩","","",""
"Ygritte","耶哥蕊特","","",""
"Elenei","依妮","","",""
"Orange Shore","橙色海岸","","",""
"Jommo","鸠摩","","",""
"Smoking Sea","烟海","","",""
"Harwyn Hoare","哈尔温·霍尔","","",""
"The Lord of the Woeful Countenance","哀面领主","","",""
"Sherrit","谢瑞特","","",""
"A Clash of Kings","列王的纷争","","",""
"Bessa the Barmaid","酒馆女郎贝莎","","",""
"Dickon Manwoody","狄肯·曼伍笛","","",""
"Daeron Targaryen (son of Aegon V)","戴伦·坦格利安(伊耿五世之子)","","",""
"Flatlands","平地","","",""
"Runestone","符石城","","",""
"Jon Fossoway","琼恩·佛索威","","",""
"Cobblecat","卵石猫号","","",""
"Aerys I Targaryen","伊里斯·坦格利安一世","","",""
"Ellendor","艾兰多","","",""
"Qarkash","魁卡西","","",""
"House Blackfyre","黑火家族","","",""
"Tall Trees Town","高树镇","","",""
"Barrowlands","先民荒冢","","",""
"Battle of the Kingsroad","国王大道之役","","",""
"Roland Crakehall (Lord)","罗兰·克雷赫(伯爵)","","",""
"Greenguard","绿卫堡","","",""
"Yellow Dick","黄迪克","","",""
"Ghaston Grey","灰怖堡","","",""
"Qotho","柯索","","",""
"House Karstark","卡史塔克家族","","",""
"Dorcas","多卡莎","","",""
"Mistwood","雾林城","","",""
"Merlon Crakehall","梅隆·克雷赫","","",""
"Let Me Drink Your Beauty","让我啜吸你的美丽","","",""
"Wonders","奇迹","","",""
"Harrag Hoare","哈拉吉·霍尔","","",""
"Beyond the Wall","塞外","","",""
"Tickler","记事本","","",""
"Davos Dayne","戴佛斯·戴恩","","",""
"Jeyne Heddle","简妮·海德","","",""
"Uhlan","乌汉","","",""
"Melwyn Sarsfield","梅温·萨斯菲尔德","","",""
"Vaes Mejhah","维斯·梅耶哈","","",""
"Bloodbeard","血胡子","","",""
"House Varner","瓦尔纳家族","","",""
"Rycherd Crane","理查德·克连恩","","",""
"Manfryd Yew","曼佛利·宇","","",""
"Brea","布瑞亚","","",""
"Ruling council of Meereen","弥林执政议会","","",""
"Garth (Wolf's Den)","加尔斯(狼穴)","","",""
"Symon Santagar","西蒙·桑塔加","","",""
"Kite","风筝号","","",""
"Poisoned locusts","毒蝗虫","","",""
"Rupert Brax","卢伯特·布拉克斯","","",""
"Corpse Lake","尸骸湖","","",""
"Sons of the Harpy","鹰身女妖之子","","",""
"Sand Snakes","沙蛇","","",""
"Rhaegar Frey","雷加·佛雷","","",""
"Dagon Greyjoy","达衮·葛雷乔伊","","",""
"Jeyne Darry","简妮·戴瑞","","",""
"House Meadows","梅斗家族","","",""
"A Game of Thrones (comics)","权力的游戏(漫画)","","",""
"Robb Stark","罗柏·史塔克","","",""
"Jonquil","琼琪","","",""
"Gareth the Grey","“灰人”加雷斯","","",""
"Cobble Cover","卵石滩","","",""
"Rawney","劳尼","","",""
"Addison Hill","安迪森·希山","","",""
"High Septon (Hightower)","总主教(海塔尔)","","",""
"Hullen","胡伦","","",""
"Dhazzar","达哈萨","","",""
"Lord Commander of the Night's Watch","守夜人总司令","","",""
"Kosrak","科斯拉克","","",""
"Quincy Cox","昆西·考克斯","","",""
"Benfrey Frey","本佛雷·佛雷","","",""
"City Watch of Oldtown","旧镇守备队","","",""
"House Lannister of Lannisport","兰尼斯港的兰尼斯特家族","","",""
"Tobho Mott","托布·莫特","","",""
"House Crane","克连恩家族","","",""
"Robar II Royce","罗拔·罗伊斯二世","","",""
"Jenny (Penny)","一铜板简妮","","",""
"House Hetherspoon","赫斯班家族","","",""
"Torentine","湍流河","","",""
"Warrior (the Seven)","战士","","",""
"Cersei Lannister","瑟曦·兰尼斯特","","",""
"Walder Haigh","瓦德·海伊","","",""
"Garth Tyrell","加尔斯·提利尔","","",""
"Oswell Whent","奥斯威尔·河安","","",""
"Carrot","卡罗特","","",""
"Benedar Belmore","本内达·贝尔摩","","",""
"Poxy Tym","麻脸提姆","","",""
"Silverwing","银翼","","",""
"Lync","林克","","",""
"Ironbelly","铁肚子","","",""
"Elinor Tyrell","埃萝·提利尔","","",""
"Harlan Grandison","哈兰·格兰德森","","",""
"Lady Joanna (ship)","乔安娜夫人号","","",""
"Galladon of Tarth","塔斯的加勒敦","","",""
"Myles Mooton","米斯·慕顿","","",""
"Merling Rock","美人鱼礁","","",""
"Blacktyde","黑潮岛","","",""
"Mathos II Arryn","马索斯·艾林二世","","",""
"Layna","蕾娜","","",""
"King of the Rock","凯岩王","","",""
"Byron","拜伦","","",""
"Ocley","奥斯理","","",""
"House Hogg","霍格家族","","",""
"Smiler","笑星","","",""
"Harrion Karstark","哈利昂·卡史塔克","","",""
"The Ship","戏子船","","",""
"Tyrek Lannister","提瑞克·兰尼斯特","","",""
"Joseth Mallister","乔赛斯·梅�"""Arianne Martell""","""亚莲恩·马泰尔""","""""","""""",""""""
"""Toregg""","""托雷格""","""""","""""",""""""
"""Faircastle""","""仙女城""","""""","""""",""""""
"""Mummer's Ford""","""戏子滩""","""""","""""",""""""
"""Sybell Spicer""","""希蓓儿·斯派瑟""","""""","""""",""""""
"""The Mother's Tears""","""圣母的眼泪""","""""","""""",""""""
"""Tristan Rivers""","""崔斯坦·河文""","""""","""""",""""""
"""Meryn Trant""","""马林·特兰""","""""","""""",""""""
"""War of the First Men and the Children of the Forest""","""先民与森林之子的战争""","""""","""""",""""""
"""High Septon (Fat One)""","""总主教(胖子)""","""""","""""",""""""
"""Doniphos Paenymion""","""多法斯·潘尼米恩""","""""","""""",""""""
"""Rolland Longthorpe""","""罗兰德·郎多普""","""""","""""",""""""
"""Lucas Codd""","""卢卡斯·考德""","""""","""""",""""""
"""Haegon Blackfyre""","""哈耿·黑火""","""""","""""",""""""
"""Jon Lothston""","""琼恩·罗斯坦""","""""","""""",""""""
"""Emmon Cuy""","""埃蒙·库伊""","""""","""""",""""""
"""Jommy""","""乔米""","""""","""""",""""""
"""Qarl""","""科尔""","""""","""""",""""""
"""The greens""","""绿党""","""""","""""",""""""
"""Frostfires""","""冷霜火""","""""","""""",""""""
"""Stone Head""","""石首岛""","""""","""""",""""""
"""Marwyn Belmore""","""马文·贝尔摩""","""""","""""",""""""
"""Sloey""","""斯洛伊""","""""","""""",""""""
"""Kingswood""","""御林""","""""","""""",""""""
"""The Shady Glen""","""幽影谷""","""""","""""",""""""
"""Vermithor""","""沃米索尔""","""""","""""",""""""
"""Rhaenys Targaryen (The Queen Who Never Was)""","""雷妮丝·坦格利安(伊蒙之女)""","""""","""""",""""""
"""Battle of Riverrun""","""奔流城遭遇战""","""""","""""",""""""
"""Amerei Frey""","""阿蕊丽·佛雷""","""""","""""",""""""
"""Jon Myre""","""琼恩·密瑞""","""""","""""",""""""
"""K'Dath""","""卡达什""","""""","""""",""""""
"""Golden Dragon""","""金龙号""","""""","""""",""""""
"""House Butterwell""","""巴特威家族""","""""","""""",""""""
"""Baelon Targaryen""","""贝尔隆·坦格利安(消歧义)""","""""","""""",""""""
"""Bael""","""“吟游诗人”贝尔""","""""","""""",""""""
"""First Men""","""先民""","""""","""""",""""""
"""Brair""","""荆棘""","""""","""""",""""""
"""House Yew""","""宇家族""","""""","""""",""""""
"""House Wode""","""渥德家族""","""""","""""",""""""
"""Poison Sea""","""毒海""","""""","""""",""""""
"""Skinner""","""剥皮人""","""""","""""",""""""
"""Desmond Redwyne""","""戴斯蒙·雷德温""","""""","""""",""""""
"""The She-Wolves of Winterfell""","""临冬城的母狼""","""""","""""",""""""
"""Finger dance""","""手指舞""","""""","""""",""""""
"""Mirri Maz Duur""","""弥丽·马兹·笃尔""","""""","""""",""""""
"""Mors Westford""","""莫尔斯·维斯特福德""","""""","""""",""""""
"""Edrick Stark""","""艾德利克·史塔克""","""""","""""",""""""
"""Prestayn""","""普莱斯坦""","""""","""""",""""""
"""Elys Waynwood""","""伊利·韦伍德""","""""","""""",""""""
"""Battle in the Gullet""","""喉道海战""","""""","""""",""""""
"""Great Walrus""","""大海象""","""""","""""",""""""
"""Wolfswood""","""狼林""","""""","""""",""""""
"""The Bloody Cup""","""血杯""","""""","""""",""""""
"""Robert Frey""","""劳勃·佛雷""","""""","""""",""""""
"""Rickon Stark (son of Cregan)""","""瑞肯·史塔克(克雷根之子)""","""""","""""",""""""
"""Sceptre""","""王权号""","""""","""""",""""""
"""The Winds of Winter""","""凛冬的寒风""","""""","""""",""""""
"""Windblown""","""风吹团""","""""","""""",""""""
"""Jon Umber (Greatjon)""","""琼恩·安柏(大琼恩)""","""""","""""",""""""
"""Game of Thrones - A Telltale Games Series""","""权力的游戏(Telltale系列游戏)""","""""","""""",""""""
"""Shrinking Sea""","""萎海""","""""","""""",""""""
"""Jynessa Blackmn pit (Great Pyramid)""","""龙穴(大金字塔)""","""""","""""",""""""
"""Gareth Clifton""","""加雷斯·克莱夫顿""","""""","""""",""""""
"""Khal""","""卡奥""","""""","""""",""""""
"""Vaes Dothrak""","""维斯·多斯拉克""","""""","""""",""""""
"""Robert Flowers""","""劳勃·佛花""","""""","""""",""""""
"""Clifford Conklyn""","""克利福德·科肯英""","""""","""""",""""""
"""Lorent Lorch""","""罗伦特·洛奇""","""""","""""",""""""
"""Battle on the Honeywine""","""蜜酒河之战""","""""","""""",""""""
"""Mossovy""","""摩苏伊""","""""","""""",""""""
"""Obella Sand""","""奥贝娜·沙德""","""""","""""",""""""
"""Donal Noye""","""唐纳·诺伊""","""""","""""",""""""
"""God-on-Earth""","""天帝""","""""","""""",""""""
"""Kinslaying""","""弑亲""","""""","""""",""""""
"""Arron""","""艾隆""","""""","""""",""""""
"""Battle of Duskendale""","""暮谷镇之战""","""""","""""",""""""
"""Elephant(ship)""","""大象号""","""""","""""",""""""
"""Olyvar Martell""","""奥利法·马泰尔""","""""","""""",""""""
"""Tourmaline Emperor""","""碧玺帝""","""""","""""",""""""
"""Theo Wull""","""席奥·渥尔""","""""","""""",""""""
"""Aladale Wynch""","""阿拉达·温奇""","""""","""""",""""""
"""Boots (cat)""","""靴子""","""""","""""",""""""
"""Janos Arryn""","""杰诺斯·艾林""","""""","""""",""""""
"""Maesters""","""学士""","""""","""""",""""""
"""New Gift""","""新赠地""","""""","""""",""""""
"""Marq Ambrose""","""马柯·安布罗斯""","""""","""""",""""""
"""Grassy Vale""","""绿谷城""","""""","""""",""""""
"""Axe""","""斧头半岛""","""""","""""",""""""
"""Gascoyne""","""加斯科因""","""""","""""",""""""
"""Warden""","""守护""","""""","""""",""""""
"""Puckens""","""普肯斯""","""""","""""",""""""
"""Red Tide""","""红潮号""","""""","""""",""""""
"""hollow hill""","""空山""","""""","""""",""""""
"""Little Monster""","""小怪物""","""""","""""",""""""
"""Fall of Dragonstone""","""龙石岛陷落""","""""","""""",""""""
"""Shitmouth""","""臭嘴""","""""","""""",""""""
"""Wyndhall""","""狭厅""","""""","""""",""""""
"""299AC""","""299AC""","""""","""""",""""""
"""Alys Stackspear""","""亚丽·斯脱克皮""","""""","""""",""""""
"""House of Black and White""","""黑白之院""","""""","""""",""""""
"""Aenys Frey""","""伊尼斯·佛雷""","""""","""""",""""""
"""Brave Danny Flint""","""勇敢的丹妮·菲林特""","""""","""""",""""""
"""Symond Frey""","""赛蒙·佛雷""","""""","""""",""""""
"""Straits of Tarth""","""塔斯海峡""","""""","""""",""""""
"""Alayaya""","""爱拉雅雅""","""""","""""",""""""
"""Hugh""","""修夫""","""""","""""",""""""
"""Roone (Maester)""","""鲁尼(学士)""","""""","""""",""""""
"""House Estren""","""伊斯兰家族""","""""","""""",""""""
"""Quort""","""科特""","""""","""""",""""""
"""Hoster Blackwood""","""霍斯特·布莱伍德""","""""","""""",""""""
"""Axel Tully""","""亚赛尔·徒利""","""""","""""",""""""
"""Mallador Locke""","""马拉多·洛克""","""""","""""",""""""
"""Hallis Mollen""","""哈里斯·莫兰""","""""","""""",""""""
"""Franklyn Flowers""","""福兰克林·佛花""","""""","""""",""""""
"""Danny Flint""","""丹妮·菲林特""","""""","""""",""""""
"""House Vypren""","""瓦尔平家族""","""""","""""",""""""
"""House Osgrey of Leafy Lake""","""叶子湖的奥斯格雷家族""","""""","""""",""""""
"""Buckle""","""皮扣村""","""""","""""",""""""
"""Mellei""","""梅勒""","""""","""""",""""""
"""Ice Dragon (constellation)""","""冰龙座""","""""","""""",""""""
"""House Dayne of High Hermitage""","""高隐城的戴恩家族""","""""","""""",""""""
"""Roslin Frey""","""萝丝琳·佛雷""","""""","""""",""""""
"""Jasper Redfort""","""贾斯皮·雷德佛""","""""","""""",""""""
"""Tyrosh""","""泰洛西""","""""","""""",""""""
"""Ordello""","""奥德罗""","""""","""""",""""""
"""Free folk""","""自由民""","""""","""""",""""""
"""Catelyn Bracken""","""凯特琳·布雷肯""","""""","""""",""""""
"""Sludgy Pond""","""烂泥塘""","""""","""""",""""""
"""The Day They Hanged Black Robin""","""吊死黑罗宾的日子""","""""","""""",""""""
蓝新娘号","","",""
"Iron Wind","铁风号","","",""
"Lonely Light","孤灯堡","","",""
"Maiden (the Seven)","少女","","",""
"Aquan the Red Bull","红牛阿昆","","",""
"Outcast Inn","放逐者旅馆","","",""
"Donnel Locke","唐纳·洛克","","",""
"Griffin King","狮鹫王","","",""
"Jeyne Rivers","简妮·河文","","",""
"Old Oak","古橡城","","",""
"Donnel Arryn","唐纳尔·艾林","","",""
"Rhaenys Targaryen","雷妮丝·坦格利安","","",""
"Garth VII Gardener","加尔斯·园丁七世","","",""
"War of the Usurper","篡夺者战争","","",""
"Bloody flux","血瘟","","",""
"Greenshield","绿盾岛","","",""
"Joffrey Lannister","乔佛里·兰尼斯特","","",""
"Quiet Isle","寂静岛","","",""
"Willamen Frey","威廉学士","","",""
"Fishfoot Yard","鱼王广场","","",""
"Willam Wells","威廉·威尔斯","","",""
"Crannogmen","泽地人","","",""
"Tarbeck Hall","塔贝克厅","","",""
"Armond Connington","亚蒙德·克林顿","","",""
"R'hllor","拉赫洛","","",""
"Isle of Whips","鞭岛","","",""
"House of the Red Hands","红手之院","","",""
"Cleyton Caswell","克雷顿·卡斯威","","",""
"chapters Chapter Summaries","导航:章节","","",""
"Alaric of Eysen","伊森人阿里克","","",""
"Rogare Family","罗佳尔家族","","",""
"Baela Targaryen","贝妮拉·坦格利安","","",""
"Glendon Hewett","葛兰登·赫威特","","",""
"Tragedy at Summerhall","盛夏厅的悲剧","","",""
"Dywen","戴文","","",""
"Hali","哈莉","","",""
"Maegor I Targaryen","梅葛·坦格利安一世","","",""
"N'Ghai","尼盖尔","","",""
"Aron Santagar","艾伦·桑塔加","","",""
"Robert Frey (Disambiguation)","劳勃·佛雷(消歧义)","","",""
"House Payne","派恩家族","","",""
"Wind Witch","风之巫女号","","",""
"Elwood (disambiguation)","埃伍德(消歧义)","","",""
"Danwell Frey","丹威尔·佛雷","","",""
"Gynir","加尼","","",""
"The Lineages and Histories of the Great Houses of the Seven Kingdoms","七国主要贵族之世家谱系与历史(内附许多关于爵爷夫人和他们子女的描述)","","",""
"Volaenia","瓦兰娜河","","",""
"Mors II Martell","莫尔斯·马泰尔二世","","",""
"Downdelving","深钻厅","","",""
"Iron Kiss","铁吻号","","",""
"House Corbray","科布瑞家族","","",""
"Jocelyn Baratheon","乔斯琳·拜拉席恩","","",""
"Big Willow","大柳江","","",""
"Benerro","本内罗","","",""
"Rolly Duckfield","罗利·达克菲","","",""
"House Slate","史拉特家族","","",""
"Piety","虔诚号","","",""
